NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,Manufacturing
"Beloit city, Wisconsin",36836,34.0,43651,1531.0,0.4397,37544.0
"North Las Vegas city, Nevada",241369,32.8,59835,7454.0,0.3942,37144.0
"Dripping Springs city, Texas",4119,37.9,80000,65.0,0.4964,121364.0
"Vero Beach city, Florida",16857,53.4,48844,390.0,0.582,39405.0
"Liberty Lake city, Washington",9836,37.8,76353,373.0,0.4263,64663.0
"Sand Springs city, Oklahoma",19794,37.5,58153,314.0,0.4154,46071.0
"Perry city, Georgia",16595,34.6,49219,815.0,0.4347,41969.0
"Costa Mesa city, California",113159,35.2,84138,2848.0,0.44,60166.0
"Independence city, Missouri",117084,40.1,50592,2875.0,0.4433,43347.0
"Hernando city, Mississippi",15942,37.0,79195,227.0,0.4262,61000.0
"Hollister city, California",38687,33.4,80629,1596.0,0.3748,38319.0
"Gretna city, Louisiana",17774,39.6,47244,645.0,0.5231,41848.0
"DeRidder city, Louisiana",10861,34.7,45536,442.0,0.485,63500.0
"Morganton city, North Carolina",16481,40.7,42137,345.0,0.471,29048.0
"Greencastle city, Indiana",10296,26.7,47471,103.0,0.4156,41828.0
"Cottage Grove city, Minnesota",36602,36.8,102039,369.0,0.3413,63261.0
"Concord city, North Carolina",91980,36.8,67984,2616.0,0.4413,42486.0
"Hanford city, California",56475,33.5,62413,1896.0,0.4321,38322.0
"Roeland Park city, Kansas",6769,33.8,75965,115.0,0.3877,51250.0
"Ozark city, Alabama",14413,44.7,41027,615.0,0.4756,31712.0
"Ozark city, Alabama",14413,44.7,41027,615.0,0.4756,31712.0
"Hibbing city, Minnesota",16014,41.3,49009,353.0,0.4347,46613.0
"Warrenton town, Virginia",9913,38.7,73402,169.0,0.4198,43309.0
"West Chicago city, Illinois",27180,34.0,78116,647.0,0.4316,31115.0
"Bozeman city, Montana",46746,27.8,55569,958.0,0.4705,27571.0
"Sachse city, Texas",25607,37.1,102175,627.0,0.3547,60719.0
"Gadsden city, Alabama",35486,40.2,32642,1138.0,0.4848,30785.0
"Macon city, Illinois",1207,44.5,67188,21.0,0.322,49063.0
"Murfreesboro city, Tennessee",136366,30.4,62003,3942.0,0.4349,47303.0
"Morristown city, Tennessee",29782,37.8,32193,965.0,0.4807,29690.0
"Bartow town, Georgia",225,53.4,27500,0.0,0.4637,27188.0
