NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place,Cluster
"Mobile city, Alabama",190432,37.7,42321,5447.0,0.5071,82904.0,24463.0,37086.0,88701.0,49407.0,6403.0,33978.0,92883.0,14741.0,41597.0,1,50000,0
"Park Ridge city, Illinois",37457,44.9,111642,552.0,0.4422,33815.0,9121.0,8797.0,18869.0,77905.0,5448.0,8732.0,15186.0,989.0,11901.0,17,57875,0
"Safety Harbor city, Florida",17803,48.0,78026,324.0,0.4687,15701.0,3599.0,3178.0,9305.0,76484.0,1692.0,3178.0,7982.0,943.0,5734.0,12,62425,0
"Charleston city, Illinois",20464,26.5,40863,609.0,0.5397,17742.0,2154.0,2774.0,10997.0,40048.0,767.0,2622.0,9158.0,1344.0,3773.0,17,12567,0
"Tallahassee city, Florida",191279,26.9,45734,8624.0,0.5042,107557.0,27273.0,30365.0,107676.0,39552.0,15481.0,28657.0,88101.0,12152.0,30382.0,12,70600,0
"Coeur d'Alene city, Idaho",50540,36.8,51073,1060.0,0.4431,47188.0,6407.0,10777.0,25745.0,36029.0,1485.0,10428.0,22805.0,1522.0,11099.0,16,16750,0
"Frankfort Square CDP, Illinois",8768,39.8,99951,283.0,0.2941,8042.0,1370.0,2017.0,5582.0,61515.0,441.0,1919.0,3158.0,168.0,2747.0,17,27644,0
"Naperville city, Illinois",147501,39.1,125926,3188.0,0.4135,106290.0,37007.0,36871.0,79543.0,104895.0,29492.0,36376.0,54630.0,2690.0,39254.0,17,51622,0
"Fort Collins city, Colorado",165609,29.3,65866,5188.0,0.4559,146290.0,31371.0,29742.0,96970.0,61650.0,11321.0,28836.0,67568.0,2969.0,34474.0,8,27425,0
"Loveland city, Colorado",76972,39.9,68592,1767.0,0.4105,72145.0,12701.0,15288.0,41023.0,53734.0,2542.0,14424.0,33104.0,1270.0,20247.0,8,46465,0
"New Brighton city, Minnesota",22556,37.5,74644,547.0,0.4247,17377.0,4898.0,5186.0,12361.0,55038.0,3353.0,5051.0,9156.0,297.0,5623.0,27,45430,0
"Gaithersburg city, Maryland",67742,36.5,89763,2177.0,0.4441,33028.0,12425.0,14711.0,39615.0,74400.0,25829.0,14059.0,26222.0,1423.0,12704.0,24,31175,0
"South Bend city, Indiana",102037,33.3,40265,3084.0,0.4836,62975.0,9408.0,26532.0,49271.0,37305.0,8938.0,24830.0,46653.0,8085.0,22057.0,18,71000,0
"Bristol city, Connecticut",60218,40.5,67507,1829.0,0.4347,50343.0,7457.0,11673.0,33633.0,49730.0,5096.0,10937.0,26546.0,1908.0,15679.0,9,8420,0
"Crystal Lake city, Illinois",39974,39.6,87578,990.0,0.3912,37076.0,7390.0,9218.0,22468.0,62801.0,3962.0,8866.0,15414.0,753.0,11075.0,17,17887,0
"Sarasota city, Florida",56919,49.2,53669,1074.0,0.5395,45861.0,9482.0,7697.0,27155.0,39144.0,10267.0,6788.0,31843.0,7396.0,14083.0,12,64175,0
"Elk River city, Minnesota",24522,36.3,89596,610.0,0.3486,22470.0,3254.0,6483.0,13639.0,61833.0,1383.0,6226.0,8929.0,426.0,6681.0,27,18674,0
