NAME,Population,Median Age,Median Household Income,Unemployment Rate,Wage-based Gini,White-alone,Bachelor,Poverty,Labor,Manufacturing,Children,Foreign-born,Housing,Vacancy,Owner,State,Place
"Benton Harbor city, Michigan",9843,33.7,21916,576.0,0.4874,1197.0,329.0,2559.0,4126.0,28750.0,143.0,2385.0,4860.0,717.0,1515.0,26,07520
"Rockford city, Michigan",6254,35.4,64920,158.0,0.4315,5946.0,1145.0,1576.0,3390.0,51488.0,192.0,1518.0,2368.0,41.0,1770.0,26,69080
"Capac village, Michigan",1821,41.3,43775,106.0,0.4039,1603.0,63.0,354.0,935.0,45000.0,97.0,343.0,793.0,29.0,489.0,26,13140
"Emmett village, Michigan",227,40.9,47813,6.0,0.3939,220.0,8.0,40.0,123.0,65000.0,0.0,40.0,104.0,11.0,67.0,26,25940
"Fraser city, Michigan",14580,42.9,59089,313.0,0.4087,13040.0,1737.0,2850.0,7683.0,51688.0,1007.0,2783.0,6459.0,441.0,4456.0,26,30420
"Cadillac city, Michigan",10419,38.2,36734,340.0,0.4838,9928.0,866.0,2281.0,4673.0,31516.0,28.0,2227.0,4987.0,554.0,2613.0,26,12320
"Harrietta village, Michigan",154,45.5,30313,2.0,0.4175,154.0,8.0,28.0,58.0,31250.0,0.0,28.0,100.0,35.0,47.0,26,36720
"Caseville city, Michigan",591,62.5,36667,13.0,0.5133,578.0,45.0,38.0,232.0,-666666666.0,6.0,31.0,810.0,438.0,245.0,26,13760
"Copemish village, Michigan",143,53.6,48750,1.0,0.2717,135.0,15.0,14.0,78.0,32500.0,10.0,14.0,95.0,37.0,43.0,26,18040
"Custer village, Michigan",289,33.3,44000,10.0,0.3429,286.0,10.0,83.0,145.0,41875.0,0.0,78.0,116.0,10.0,89.0,26,19420
"Ishpeming city, Michigan",6464,42.9,46299,245.0,0.4238,6165.0,825.0,1080.0,3030.0,40919.0,57.0,1018.0,3243.0,411.0,2042.0,26,41220
"Beaver Bay city, Minnesota",98,57.3,67083,1.0,0.2735,72.0,33.0,2.0,42.0,-666666666.0,19.0,2.0,135.0,70.0,59.0,27,04456
"Ada city, Minnesota",1763,39.3,53438,33.0,0.4555,1623.0,165.0,467.0,816.0,44375.0,25.0,458.0,864.0,158.0,509.0,27,00172
"Perley city, Minnesota",76,47.5,56250,2.0,0.3933,70.0,7.0,8.0,52.0,65313.0,0.0,8.0,51.0,11.0,40.0,27,50506
"Hadley city, Minnesota",56,59.0,51250,0.0,0.3669,56.0,6.0,9.0,32.0,-666666666.0,5.0,9.0,29.0,0.0,25.0,27,26450
"Lake Wilson city, Minnesota",222,58.3,50000,1.0,0.4046,222.0,10.0,19.0,130.0,34375.0,0.0,19.0,139.0,9.0,121.0,27,35198
"Kenneth city, Minnesota",62,53.6,53571,0.0,0.2559,62.0,2.0,3.0,41.0,-666666666.0,0.0,3.0,35.0,3.0,16.0,27,32750
"Hazel Run city, Minnesota",64,48.7,42500,0.0,0.3362,64.0,11.0,16.0,28.0,11750.0,3.0,16.0,30.0,0.0,22.0,27,28016
"Elmore city, Minnesota",480,44.1,38125,12.0,0.6067,449.0,28.0,95.0,253.0,33542.0,12.0,83.0,313.0,83.0,179.0,27,18998
"Greenwald city, Minnesota",238,32.0,63125,4.0,0.3044,238.0,7.0,70.0,137.0,48750.0,0.0,69.0,89.0,0.0,88.0,27,25874
"Long Prairie city, Minnesota",3311,43.2,41438,86.0,0.3908,2630.0,297.0,826.0,1378.0,37179.0,651.0,709.0,1467.0,137.0,809.0,27,38060
"Albany city, Minnesota",2729,35.9,62679,8.0,0.4432,2564.0,295.0,753.0,1241.0,39000.0,62.0,748.0,1039.0,19.0,763.0,27,00622
"Eden Valley city, Minnesota",1019,35.0,41534,16.0,0.3851,969.0,43.0,251.0,576.0,40208.0,5.0,200.0,515.0,48.0,309.0,27,18134
"New Munich city, Minnesota",305,35.9,49000,8.0,0.3758,299.0,25.0,73.0,155.0,41429.0,0.0,73.0,128.0,4.0,122.0,27,45772
"Waite Park city, Minnesota",7692,31.1,41200,152.0,0.4139,5153.0,580.0,1497.0,4380.0,31600.0,1458.0,1397.0,3656.0,157.0,1327.0,27,67612
"Calumet city, Minnesota",413,41.9,38281,23.0,0.4213,403.0,16.0,87.0,202.0,73750.0,0.0,87.0,221.0,22.0,119.0,27,09316
