City,Population,Median Household Income,Unemployment Rate,Wage-based Gini,Median Age,State,Place,Cluster
"Longview city, Texas",81653,34.7,49086,1884.0,0.4796,48,43888,1
"Galveston city, Texas",50241,38.9,49319,1784.0,0.5076,48,28068,1
"Port Arthur city, Texas",55109,34.5,36557,1614.0,0.4806,48,58820,1
"Ogden city, Utah",86833,31.8,50061,2068.0,0.4549,49,55980,1
"Millcreek city, Utah",60731,36.9,72134,1096.0,0.4657,49,50150,1
"Corvallis city, Oregon",58028,27.4,52942,1815.0,0.5044,41,15800,1
"Joplin city, Missouri",50386,36.7,45449,1528.0,0.4842,29,37592,1
"Bayonne city, New Jersey",65091,38.0,63947,1989.0,0.457,34,3580,1
"Victoria city, Texas",67055,34.4,54192,1927.0,0.4795,48,75428,1
"Rapid City city, South Dakota",75258,38.0,52351,2148.0,0.4728,46,52980,1
"Waukesha city, Wisconsin",72412,36.1,65260,1295.0,0.4196,55,84250,1
"Great Falls city, Montana",58835,38.6,46965,1105.0,0.4809,30,32800,1
"Appleton city, Wisconsin",74139,35.9,58112,1451.0,0.4376,55,2375,1
"Harlingen city, Texas",65129,31.6,39752,1692.0,0.4819,48,32372,1
"Bryan city, Texas",84096,30.5,45771,1694.0,0.4689,48,10912,1
"Temple city, Texas",74762,34.2,54873,1890.0,0.462,48,72176,1
"Burien city, Washington",51477,37.9,67402,1588.0,0.4587,53,8850,1
"Medford city, Oregon",81145,37.4,50116,2287.0,0.4479,41,47000,1
"Logan city, Utah",50863,24.0,41833,791.0,0.4322,49,45860,1
"Olympia city, Washington",51534,38.4,59878,1412.0,0.4512,53,51300,1
"Kennewick city, Washington",81479,33.7,59533,2245.0,0.4275,53,35275,1
"Pharr city, Texas",78073,29.2,39884,1495.0,0.4458,48,57200,1
"Perth Amboy city, New Jersey",51678,33.3,52563,952.0,0.4465,34,58200,1
"West Allis city, Wisconsin",60025,37.9,52325,1259.0,0.3995,55,85300,1
"Eau Claire city, Wisconsin",68187,31.7,55477,1593.0,0.4317,55,22300,1
