Population,State,City
60337.0,12,63650
57787.0,12,64175
113742.0,12,68350
94657.0,12,69700
66432.0,12,70675
55757.0,12,70700
63687.0,12,71569
81444.0,12,71625
89791.0,12,72145
64990.0,12,75812
60534.0,12,75875
54470.0,12,76075
70965.0,12,76582
111006.0,12,76600
72634.0,13,01052
66566.0,13,01696
124962.0,13,03440
54727.0,13,10944
84551.0,13,42425
60687.0,13,49756
94884.0,13,67284
108180.0,13,68516
56333.0,13,71492
98586.0,13,72122
54665.0,13,73784
56320.0,13,78800
76967.0,13,80508
56734.0,16,12250
51491.0,16,16750
62417.0,16,39700
107787.0,16,52120
96825.0,16,56260
56016.0,16,64090
75071.0,17,02154
54850.0,17,05573
77725.0,17,06613
74319.0,17,07133
88288.0,17,12385
81471.0,17,14351
71857.0,17,18823
58316.0,17,19642
112062.0,17,23074
73979.0,17,24582
50464.0,17,35411
54165.0,17,51089
54699.0,17,53234
55432.0,17,54820
52102.0,17,54885
58380.0,17,56640
67875.0,17,57225
112644.0,17,59000
73392.0,17,68003
63300.0,17,70122
115075.0,17,72000
56082.0,17,75484
87157.0,17,79293
53157.0,17,81048
54476.0,18,01468
84691.0,18,05860
99130.0,18,10342
52657.0,18,20728
118414.0,18,22000
93488.0,18,23278
75486.0,18,27000
58784.0,18,29898
76141.0,18,31000
58066.0,18,40392
72556.0,18,40788
67739.0,18,51876
64430.0,18,54180
102686.0,18,71000
60690.0,18,75428
66361.0,19,01855
64744.0,19,02305
62376.0,19,16860
102199.0,19,19000
58052.0,19,22395
75849.0,19,38595
82535.0,19,73335
67671.0,19,82425
66724.0,19,83910
97348.0,20,38900
54804.0,20,39350
55045.0,20,44250
65844.0,20,64500
71628.0,21,08902
59796.0,21,58620
68286.0,22,08920
66759.0,22,39475
77832.0,22,41155
66706.0,23,60545
53869.0,24,02825
55024.0,24,05950
65092.0,24,07125
58158.0,24,08775
105412.0,24,19125
63826.0,24,23975
73272.0,24,26000
71843.0,24,30325
67878.0,24,31175
89529.0,24,32025
69649.0,24,32650
68155.0,24,67675
53374.0,24,71150
81069.0,24,72450
57542.0,24,78425
77711.0,24,81175
51191.0,24,83775
95740.0,25,09000
59223.0,25,09210
117822.0,25,11000
55186.0,25,13660
89618.0,25,23000
72846.0,25,24960
63783.0,25,29405
80022.0,25,34550
111311.0,25,37000
94201.0,25,37490
60710.0,25,37875
58290.0,25,39835
50518.0,25,40710
95355.0,25,45000
88322.0,25,45560
53004.0,25,52490
94389.0,25,55745
53400.0,25,56585
81175.0,25,62535
57327.0,25,69170
62597.0,25,72600
57213.0,25,78972
121093.0,26,03000
51084.0,26,05920
94328.0,26,21000
55630.0,26,21020
80937.0,26,27440
95999.0,26,29000
76106.0,26,42160
51780.0,26,42820
117488.0,26,46000
93970.0,26,49000
60439.0,26,59440
59714.0,26,65440
74340.0,26,69035
59256.0,26,70040
59184.0,26,70760
72966.0,26,74900
61164.0,26,79000
84051.0,26,80700
81713.0,26,86000
75999.0,26,88940
53728.0,27,01900
65048.0,27,06382
85226.0,27,06616
80173.0,27,07966
61536.0,27,08794
62706.0,27,13114
85852.0,27,17000
66377.0,27,17288
64481.0,27,18116
52215.0,27,18188
65710.0,27,35180
71569.0,27,40166
53760.0,27,43252
78879.0,27,51730
117134.0,27,54880
68390.0,27,56896
71298.0,27,71428
71660.0,28,29700
55026.0,28,69280
55415.0,29,06652
122659.0,29,15670
51220.0,29,24778
117139.0,29,35000
50580.0,29,37592
98997.0,29,41348
88132.0,29,54074
70650.0,29,64082
75369.0,29,64550
57536.0,29,65126
109705.0,30,06550
58717.0,30,32800
74994.0,30,50200
63970.0,31,03950
51250.0,31,19595
55244.0,32,09700
102895.0,32,68400
112441.0,33,45140
89052.0,33,50260
65112.0,34,03580
73742.0,34,10000
85201.0,34,13690
64650.0,34,19390
53283.0,34,32250
55039.0,34,38580
55992.0,34,51210
69789.0,34,56550
51589.0,34,58200
50252.0,34,59190
90081.0,34,73110
83387.0,34,74000
68073.0,34,74630
59405.0,34,76070
52778.0,34,79610
102950.0,35,39380
97976.0,35,63460
84418.0,35,70500
96860.0,36,01000
62743.0,36,08026
73457.0,36,15000
55153.0,36,33139
50141.0,36,37737
51266.0,36,42081
67623.0,36,49121
79367.0,36,50617
65336.0,36,65508
56829.0,36,75021
59984.0,36,76540
58171.0,36,81677
55220.0,37,01520
92328.0,37,02140
54534.0,37,09060
61912.0,37,11800
94147.0,37,14100
76635.0,37,25580
92826.0,37,28080
112434.0,37,31400
57288.0,37,33120
74313.0,37,34200
54330.0,37,57500
122162.0,37,74440
